Column1;Column2;Column3
lundi;1022;[43.60969924926758, 3.896939992904663]
mardi;1139;[43.60969924926758, 3.896939992904663]
mercredi;1205;[43.60969924926758, 3.896939992904663]
jeudi;1126;[43.60969924926758, 3.896939992904663]
vendredi;982;[43.60969924926758, 3.896939992904663]
samedi;1009;[43.60969924926758, 3.896939992904663]
dimanche;1077;[43.60969924926758, 3.896939992904663]
lundi;1273;[43.61620945549243, 3.874408006668091]
mardi;1473;[43.61620945549243, 3.874408006668091]
mercredi;1547;[43.61620945549243, 3.874408006668091]
jeudi ;1497;[43.61620945549243, 3.874408006668091]
vendredi;1340;[43.61620945549243, 3.874408006668091]
samedi ;849;[43.61620945549243, 3.874408006668091]
dimanche;652;[43.61620945549243, 3.874408006668091]
lundi;772;[43.61465, 3.8336]
mardi;849;[43.61465, 3.8336]
mercredi;761;[43.61465, 3.8336]
jeudi;825;[43.61465, 3.8336]
vendredi;759;[43.61465, 3.8336]
samedi;499;[43.61465, 3.8336]
dimanche;447;[43.61465, 3.8336]
lundi;769;[43.6266977, 3.8956288]
mardi;853;[43.6266977, 3.8956288]
mercredi;825;[43.6266977, 3.8956288]
jeudi;870;[43.6266977, 3.8956288]
vendredi;801;[43.6266977, 3.8956288]
samedi;617;[43.6266977, 3.8956288]
dimanche;536;[43.6266977, 3.8956288]
lundi;1082;[43.6138841, 3.8684671]
mardi;1261;[43.6138841, 3.8684671]
mercredi;1195;[43.6138841, 3.8684671]
jeudi;1191;[43.6138841, 3.8684671]
vendredi;1047;[43.6138841, 3.8684671]
samedi;694;[43.6138841, 3.8684671]
dimanche;436;[43.6138841, 3.8684671]
lundi;446;[43.57883, 3.8684671]
mardi;481;[43.57883, 3.8684671]
mercredi;496;[43.57883, 3.8684671]
jeudi;490;[43.57883, 3.8684671]
vendredi;445;[43.57883, 3.8684671]
samedi;484;[43.57883, 3.8684671]
dimanche;516;[43.57883, 3.8684671]
lundi;172;[43.5907, 3.81324]
mardi;236;[43.5907, 3.81324]
mercredi;228;[43.5907, 3.81324]
jeudi;225;[43.5907, 3.81324]
vendredi;152;[43.5907, 3.81324]
samedi;248;[43.5907, 3.81324]
dimanche;303;[43.5907, 3.81324]
lundi;237;[43.6157418, 3.9096322]
mardi;267;[43.6157418, 3.9096322]
mercredi;245;[43.6157418, 3.9096322]
jeudi;263;[43.6157418, 3.9096322]
vendredi;209;[43.6157418, 3.9096322]
samedi;90;[43.6157418, 3.9096322]
dimanche;90;[43.6157418, 3.9096322]
